,year_id,month_id,cty_cd,旅客量,客座率
131,2015,3,CCC,628433,0.8752028
132,2017,5,WWW,3467388,0.8194047999999999
133,2016,10,PPP,689576,0.9211816
134,2015,4,HHH,472176,0.8426806
135,2017,9,CCC,895889,0.8884818
136,2017,6,PPP,623297,0.8656058
137,2017,4,JJJ,807513,0.8215671999999999
138,2015,12,EEE,1902949,0.8181876
139,2016,7,XXX,623902,0.8881406000000001
140,2017,8,NNN,986976,0.847353
141,2016,8,SSS,1789587,0.8504144
142,2016,4,WWW,3355961,0.8377819999999999
143,2016,2,YYY,726040,0.8522428
144,2016,11,EEE,2184938,0.8344007999999999
145,2016,6,UUU,787155,0.811088
146,2015,4,XXX,563010,0.8735115999999999
147,2016,3,TTT,1079591,0.8728614
148,2017,2,TTT,1121734,0.9133986000000001
149,2015,10,FFF,1221654,0.862316
150,2016,10,AAA,3990296,0.8521972
151,2017,3,HHH,650692,0.8365728
152,2015,11,KKK,492414,0.819466
153,2017,8,GGG,1772282,0.895764
154,2017,11,EEE,2337041,0.8431354
155,2015,9,PPP,521849,0.8311638
156,2017,4,KKK,791956,0.854138
157,2016,8,ZZZ,943210,0.8947396
158,2015,8,EEE,2140021,0.85814
159,2015,5,TTT,1057996,0.8312961999999999
160,2017,6,AAA,3598792,0.8344362
161,2016,6,TTT,1163907,0.8475752
162,2016,9,WWW,3204434,0.8350518
163,2017,12,ZZZ,902661,0.8409906
164,2017,7,DDD,1754792,0.8458863999999999
165,2015,10,NNN,783359,0.8585621999999999
166,2016,8,RRR,1904697,0.9149492
167,2016,9,GGG,1323049,0.8626962
168,2015,9,XXX,486696,0.8572685999999999
169,2015,8,ZZZ,720916,0.896834
170,2016,1,PPP,856742,0.9055974
171,2015,1,GGG,1057118,0.8269386
172,2016,8,EEE,2337527,0.8473336
173,2017,2,JJJ,691102,0.8822438
174,2017,7,SSS,1703692,0.8575695999999999
175,2016,10,FFF,1443595,0.8922238
176,2017,10,GGG,1525219,0.8741336
177,2015,6,DDD,1437688,0.8568896
178,2016,5,TTT,1192666,0.8574638
179,2015,2,HHH,617414,0.8928886
180,2017,6,FFF,1330624,0.8891236
181,2017,11,JJJ,787480,0.8268595999999999
182,2016,8,MMM,841441,0.8995346
183,2017,8,AAA,3780647,0.855327
184,2015,1,FFF,1115781,0.850939
185,2016,1,AAA,3411505,0.8015676
186,2017,10,NNN,865508,0.8179295999999999
187,2016,3,CCC,691631,0.8494832
188,2017,10,FFF,1584547,0.8894796
189,2016,9,AAA,3757742,0.8349762
190,2017,7,ZZZ,964018,0.8698386
191,2016,8,DDD,1703483,0.8937700000000001
192,2016,3,KKK,595400,0.8386861999999999
193,2015,12,RRR,1621484,0.8197544
194,2015,9,FFF,1139955,0.857644
195,2017,6,GGG,1438867,0.8673934
196,2016,12,NNN,682173,0.8160033999999999
197,2017,2,XXX,973084,0.9110234
198,2015,9,MMM,659478,0.832506
199,2015,4,TTT,994150,0.8663374
200,2016,7,TTT,1245648,0.8352374
201,2017,2,PPP,864606,0.926174
202,2017,3,MMM,821730,0.871861
203,2015,5,YYY,661439,0.8197833999999999
204,2017,6,DDD,1660696,0.8492486
205,2016,4,KKK,627731,0.8645077999999999
206,2015,8,XXX,547517,0.8810716000000001
207,2017,3,UUU,882311,0.8196958
208,2015,1,UUU,690180,0.7271946
209,2017,6,TTT,1269586,0.8710204
210,2017,7,AAA,3537563,0.8458633999999999
211,2016,8,GGG,1590692,0.905709
212,2015,7,SSS,1484435,0.8186054
213,2017,4,FFF,1432258,0.8851252000000001
214,2016,11,YYY,732964,0.8282577999999999
215,2017,1,GGG,1594210,0.8630056
216,2015,9,UUU,732369,0.7570994
217,2016,3,PPP,730038,0.8304176
218,2016,4,SSS,1479027,0.8557684
219,2015,8,AAA,3710956,0.8288552
220,2016,7,EEE,2142937,0.8132754000000001
221,2015,2,SSS,1499236,0.8120328
222,2015,1,TTT,826506,0.7966278
223,2016,12,GGG,1272118,0.8476064
224,2015,11,WWW,2950016,0.7969504000000001
225,2017,12,NNN,773691,0.8338593999999999
226,2017,1,FFF,1644246,0.9040772
227,2016,11,HHH,578493,0.8050898000000001
228,2015,4,EEE,2035722,0.8297842
229,2017,11,AAA,3764207,0.8287032
230,2017,8,KKK,835748,0.8613032
231,2016,2,TTT,1020896,0.8736828
232,2016,10,MMM,774519,0.841383
233,2016,1,SSS,1473309,0.7764682
234,2017,11,YYY,924014,0.8478977999999999
235,2017,6,UUU,841387,0.8063666
236,2016,1,KKK,541032,0.8133112
237,2016,8,FFF,1444430,0.9065262000000001
238,2015,7,ZZZ,652301,0.8471293999999999
239,2015,6,GGG,1139835,0.8572301999999999
240,2017,5,MMM,818741,0.8490063999999999
241,2016,5,HHH,586810,0.8642448
242,2017,1,YYY,791505,0.8212115999999999
243,2016,7,JJJ,842649,0.838584
244,2015,5,GGG,1225099,0.8551002
245,2015,7,MMM,658550,0.8133892
246,2017,11,NNN,762766,0.836391
